"(448, 0.8000238811677942)","(663, 0.7970904318873535)","(44, 0.7941427039254249)","(547, 0.7884957442477893)","(3, 0.773585079339332)","(594, 0.7723521891729224)","(350, 0.7704604310068676)","(1, 0.7678174664541333)","(658, 0.7606670927423025)","(550, 0.7600741438928627)"
"(448, 0.7918113133309519)","(663, 0.7707833362507281)","(519, 0.7699608507493552)","(44, 0.7611637971430314)","(356, 0.75194241714531)","(14, 0.7501270721875299)","(594, 0.7486435850579412)","(547, 0.7448001892801728)","(67, 0.7423208126155441)","(658, 0.7399629382244495)"
"(288, 0.9168417343631247)","(458, 0.9165605941006097)","(455, 0.9040444379439075)","(439, 0.8982920572718502)","(494, 0.8957376126090962)","(583, 0.8952251785226506)","(611, 0.8927625307808547)","(502, 0.8904880911951524)","(662, 0.8900683756610456)","(682, 0.8879310367048854)"
"(155, 0.6974155704648081)","(715, 0.6965121518684264)","(602, 0.6929253764448867)","(28, 0.6856246876177386)","(288, 0.6837431291157712)","(178, 0.6826136184441877)","(61, 0.6803762232774185)","(44, 0.6802794053504744)","(97, 0.6793330259775405)","(546, 0.6778449759474164)"
"(53, 0.9247728558315884)","(413, 0.903789299127314)","(550, 0.9014414812626199)","(44, 0.8976559729314868)","(663, 0.8890993009890114)","(350, 0.8880785825173014)","(546, 0.8876036037161543)","(226, 0.8863709336664665)","(317, 0.8780943947419138)","(325, 0.87123177121008)"
"(401, 0.8122615308088127)","(21, 0.8020265232569512)","(299, 0.7968516836571351)","(187, 0.796442057534062)","(458, 0.796005838953751)","(455, 0.7936945907784556)","(250, 0.7932751407199404)","(717, 0.7928961088022892)","(583, 0.792027701737837)","(61, 0.7910445349352099)"
"(222, 0.8633212092989172)","(44, 0.8578456257990972)","(658, 0.8460603889259968)","(350, 0.8450339017786532)","(267, 0.8410873220052835)","(594, 0.8357384528857204)","(58, 0.8340509375033833)","(317, 0.8307210799847515)","(404, 0.8280829354993364)","(479, 0.8280786228250737)"
"(54, 0.869633358935127)","(308, 0.8660873455603342)","(303, 0.8634183436634613)","(458, 0.8597555429460229)","(286, 0.8586531899824454)","(503, 0.8555403497880807)","(487, 0.8540381124344019)","(288, 0.8510569976095945)","(28, 0.8504435971399855)","(394, 0.8456602080261784)"
"(621, 0.901467041917941)","(288, 0.8856290315752249)","(676, 0.8851191744225797)","(213, 0.8738098311698053)","(580, 0.8717742812959313)","(616, 0.8704856762117238)","(264, 0.8688835306356192)","(325, 0.8685262558885427)","(204, 0.8658882342419699)","(631, 0.8654350570070464)"
"(44, 0.8842864344629716)","(350, 0.881004486590895)","(663, 0.8803591272801459)","(550, 0.8606647217989776)","(594, 0.8576551120800914)","(658, 0.8481561838832163)","(547, 0.8443025183609345)","(293, 0.8399785583573858)","(413, 0.8398366992691413)","(14, 0.8394239205332019)"
"(242, 0.7499509052750634)","(61, 0.7387962842415539)","(577, 0.7386125271121524)","(222, 0.7373669556507478)","(169, 0.7331711573915214)","(430, 0.7321984473638242)","(88, 0.7300251106743021)","(676, 0.7293914324403803)","(583, 0.7244506162898849)","(663, 0.7205764711025429)"
"(458, 0.871370974969375)","(265, 0.861092988293852)","(583, 0.8585698927033883)","(288, 0.8520943531186254)","(455, 0.8444139196709386)","(525, 0.8395144777647939)","(672, 0.8376996133784316)","(149, 0.8369490147934291)","(621, 0.8367442594447388)","(488, 0.8346580118799938)"
"(663, 0.8871681201480435)","(226, 0.8856174650157372)","(509, 0.8831876992771368)","(621, 0.8783172828946285)","(547, 0.8746267875141553)","(317, 0.8745806647079394)","(274, 0.8707546054502272)","(455, 0.8684971999094928)","(44, 0.868230419858961)","(371, 0.8656376731593961)"
"(44, 0.9210120072599952)","(663, 0.9105972171704841)","(350, 0.9087427261400167)","(413, 0.9047607301445499)","(58, 0.900055311423188)","(317, 0.8993358471481171)","(222, 0.897432696565958)","(621, 0.8952616695370954)","(715, 0.8929490950754126)","(602, 0.8923775119186976)"
"(458, 0.9210338478931301)","(376, 0.9056284060288411)","(487, 0.8986499706721536)","(288, 0.8985567529622531)","(265, 0.8935422042459482)","(621, 0.8916340424588267)","(88, 0.889815775335772)","(631, 0.8896161989384006)","(455, 0.8883554449478999)","(317, 0.8853853864415964)"
"(288, 0.8358249575355372)","(687, 0.8172433713619218)","(494, 0.8161636479756393)","(458, 0.811528990270691)","(459, 0.8086620006856053)","(499, 0.8063847875073853)","(61, 0.8031911761231838)","(54, 0.8026493165663537)","(683, 0.8007019591287932)","(203, 0.7983167279433092)"
"(547, 0.8142274558007465)","(663, 0.8122411522630674)","(44, 0.8103936932909469)","(74, 0.8049354904241465)","(66, 0.8035457877849101)","(53, 0.7971387771458267)","(413, 0.7918837236716747)","(325, 0.7890611288707768)","(479, 0.788383279366331)","(602, 0.7866781908497842)"
"(547, 0.8237058307316587)","(455, 0.8132336457090916)","(376, 0.805478202892978)","(224, 0.8048009806057226)","(494, 0.803282605967472)","(448, 0.80235013173372)","(3, 0.8020399462337244)","(438, 0.7985648259400147)","(138, 0.7961766375029553)","(684, 0.7943422147044519)"
"(342, 0.7717768882546074)","(58, 0.7342722327820325)","(676, 0.7341467423794226)","(2, 0.7339982062097139)","(229, 0.7297832131516884)","(598, 0.7251624638362175)","(111, 0.7164290741223742)","(458, 0.7164205509330281)","(215, 0.7150292233138109)","(334, 0.7102924597029399)"
"(153, 0.7920015261495017)","(401, 0.7911034816197422)","(187, 0.7828456679637991)","(260, 0.7771452472887694)","(488, 0.7713863058243158)","(70, 0.7711673402312561)","(421, 0.7709963447189858)","(158, 0.7660102144227148)","(570, 0.7658950679133538)","(242, 0.7645873104629337)"
"(676, 0.8985449039646138)","(88, 0.8918768015836436)","(494, 0.8839129595987383)","(58, 0.8835101826274776)","(621, 0.8833240346047142)","(458, 0.8820221962145325)","(288, 0.8819335800075581)","(663, 0.879866529567058)","(222, 0.8784698308881221)","(687, 0.8780011549763074)"
"(169, 0.8225941131382957)","(683, 0.7790949463817876)","(144, 0.7646643572551146)","(495, 0.7596967529214504)","(73, 0.7559170092304004)","(88, 0.7458283754162476)","(250, 0.7447324837924394)","(158, 0.7409883447528883)","(242, 0.7386661186446892)","(153, 0.7371117566100098)"
"(616, 0.7830571607353769)","(153, 0.7758802055018776)","(215, 0.7694361659773179)","(430, 0.7501952413173303)","(17, 0.7491557933734696)","(274, 0.7484357302457886)","(455, 0.7474177793110961)","(105, 0.7468267166807256)","(137, 0.7462797629045799)","(320, 0.744974199321094)"
"(687, 0.6878007055477968)","(617, 0.6690461885169026)","(580, 0.6649320149009432)","(278, 0.6557697986061515)","(100, 0.6536474667596041)","(131, 0.6506011554957049)","(120, 0.6493340032838332)","(459, 0.646112361876145)","(167, 0.639833415680777)","(220, 0.6365333608174186)"
"(602, 0.9044299002157652)","(224, 0.8948585922936307)","(546, 0.8881600161228205)","(550, 0.8849106698378291)","(663, 0.8840400171708036)","(226, 0.8827663308208961)","(88, 0.8821295298627814)","(44, 0.8791938615999584)","(715, 0.8776045806368563)","(350, 0.877256793793764)"
"(177, 0.7529117381790562)","(192, 0.7383695307667939)","(58, 0.7141413418127558)","(676, 0.7047485423011254)","(44, 0.6986156710005915)","(168, 0.6939373448225289)","(209, 0.6913456013720909)","(350, 0.6894239904402546)","(139, 0.687150695764922)","(62, 0.687150695764922)"
"(458, 0.8834792841752176)","(376, 0.8817933852978416)","(281, 0.8809243635489725)","(672, 0.8767845894072034)","(288, 0.8721165466816486)","(455, 0.8692330452854262)","(621, 0.8652123258176012)","(226, 0.8620859853019591)","(12, 0.8611207276284117)","(583, 0.8585184517586422)"
"(81, 0.9107949777503104)","(583, 0.8715787358172467)","(479, 0.8640408114349017)","(458, 0.8597938404603993)","(363, 0.8564681760492479)","(288, 0.8552177828255756)","(430, 0.8538972190693727)","(564, 0.8487695887656398)","(570, 0.8479150627030054)","(222, 0.8460333444847581)"
"(288, 0.9074495817353828)","(455, 0.9046427822509742)","(458, 0.90264702334649)","(376, 0.8881048747210377)","(222, 0.8876510121589715)","(479, 0.8873709234936266)","(88, 0.8840341078368401)","(317, 0.8839630612615561)","(547, 0.8809676888281187)","(265, 0.8801546596335963)"
"(120, 0.643758831941082)","(676, 0.6432997986070469)","(14, 0.641261214363771)","(278, 0.638372396536969)","(337, 0.6351536693094871)","(663, 0.6348343819719341)","(661, 0.6344933715157699)","(721, 0.6238249433206495)","(93, 0.6237855410601341)","(288, 0.6216697188959426)"
"(676, 0.911495227367551)","(288, 0.9009276207318149)","(621, 0.9006627203423365)","(88, 0.8972727207283064)","(317, 0.8898299404114439)","(580, 0.8897470955759734)","(458, 0.8864513892535519)","(494, 0.8861767307382054)","(663, 0.8855419634361746)","(483, 0.8825343431482474)"
"(401, 0.8383915208886488)","(100, 0.8069039356398385)","(299, 0.8045849248853112)","(499, 0.8039419748705892)","(34, 0.7892202641733027)","(250, 0.7865601039498895)","(381, 0.7777249804808384)","(587, 0.7746337962871142)","(583, 0.7738728314609278)","(517, 0.7724558887585173)"
"(88, 0.8771875144714383)","(458, 0.8720774423409448)","(439, 0.8714952482247548)","(222, 0.8713137011433223)","(621, 0.8669824867691076)","(288, 0.8669102803930285)","(329, 0.8668624484509404)","(455, 0.86363631935595)","(579, 0.862523147095076)","(479, 0.8602117441030894)"
"(721, 0.8775309333233319)","(44, 0.86608152500944)","(676, 0.863295460246269)","(663, 0.8604194273435387)","(3, 0.8586729157512751)","(413, 0.8576208287679624)","(412, 0.8565017809696578)","(288, 0.8536388250932079)","(414, 0.8533049866770543)","(621, 0.853238073697995)"
"(430, 0.8378022034452279)","(583, 0.8275245607041923)","(215, 0.8199595320207065)","(242, 0.8175035400415895)","(137, 0.8151106346354214)","(687, 0.8132852375190334)","(288, 0.8110846111291041)","(153, 0.8073312246353184)","(105, 0.803769592276667)","(458, 0.802455394908449)"
"(203, 0.8434168775155637)","(394, 0.8369635949131513)","(376, 0.8341947152891647)","(458, 0.8339387980605244)","(61, 0.8323898295464462)","(455, 0.8273364011000552)","(31, 0.8255124325952796)","(583, 0.8224055722383234)","(647, 0.8201175412774819)","(344, 0.8168062224663089)"
"(582, 0.8162750991847031)","(611, 0.7961656628177741)","(427, 0.7951543843656063)","(662, 0.7832135538038557)","(114, 0.7830090202263309)","(409, 0.7778995878413105)","(61, 0.7748680706738774)","(394, 0.7720703716786649)","(552, 0.7686012379231961)","(265, 0.7618434170249782)"
"(683, 0.8222627956828839)","(687, 0.8202719559031018)","(88, 0.8092086087450707)","(158, 0.8068999664550285)","(499, 0.8051725878638532)","(120, 0.7992822732753984)","(61, 0.7975443864505254)","(664, 0.7966381663758155)","(147, 0.7933284652589102)","(421, 0.7909441554509258)"
"(676, 0.8647061063831609)","(377, 0.851085068188757)","(88, 0.8496816089256971)","(580, 0.8471383292450017)","(602, 0.8454619312892543)","(334, 0.8426892338355936)","(663, 0.8425203488765465)","(288, 0.840541555906687)","(325, 0.8380990711492112)","(458, 0.8370745863364711)"
"(73, 0.8006371311405243)","(683, 0.7853687704875777)","(381, 0.7668117198530662)","(169, 0.7663151899182754)","(158, 0.7655527753548853)","(187, 0.7612936126727894)","(250, 0.7591633366295869)","(423, 0.7567798041094508)","(664, 0.7561251313208497)","(227, 0.7535555374435967)"
"(153, 0.8198427063921254)","(242, 0.8196949109058611)","(318, 0.8183999171952193)","(664, 0.8029133639499212)","(320, 0.8025822871057595)","(430, 0.8020704664104037)","(88, 0.801620353578293)","(684, 0.8009989860924626)","(0, 0.7961090077383406)","(683, 0.7953133958908372)"
